age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,y
39,management,divorced,tertiary,false,517,true,true,unknown,14,may,1328,1,true
59,retired,married,secondary,false,1521,true,true,unknown,14,may,1125,2,true
41,blue-collar,married,secondary,false,2823,true,false,unknown,14,may,858,1,true
48,blue-collar,married,secondary,false,1405,true,false,unknown,14,may,629,2,true
40,admin,married,secondary,false,1535,true,false,unknown,14,may,704,1,true
48,blue-collar,married,secondary,false,1596,true,false,unknown,14,may,760,1,true
60,retired,married,primary,false,1542,true,false,unknown,14,may,930,1,true
40,technician,single,unknown,false,3652,true,false,unknown,14,may,1028,2,true
57,technician,married,tertiary,false,-1,false,false,unknown,14,may,850,2,true
51,blue-collar,married,secondary,false,7180,true,false,unknown,14,may,927,1,true
41,blue-collar,divorced,secondary,false,5291,true,false,unknown,14,may,1423,3,true
41,blue-collar,married,secondary,false,1384,true,false,unknown,15,may,1162,4,true
46,admin,married,secondary,false,556,true,true,unknown,15,may,646,3,true
52,blue-collar,divorced,primary,false,-191,true,false,unknown,15,may,755,1,true
43,self-employed,single,unknown,false,3173,false,false,unknown,15,may,746,1,true
59,blue-collar,married,primary,false,320,true,false,unknown,15,may,695,1,true
44,blue-collar,married,unknown,false,146,true,false,unknown,15,may,483,1,true
49,admin,single,secondary,false,716,true,false,unknown,15,may,1257,3,true
49,unknown,married,primary,false,341,true,true,unknown,15,may,520,2,true
50,entrepreneur,married,primary,false,461,true,false,unknown,15,may,651,32,true
40,services,married,primary,false,-9,true,false,unknown,15,may,920,2,true
41,admin,married,primary,false,-306,true,false,unknown,15,may,500,1,true
44,technician,married,tertiary,false,4580,true,false,unknown,15,may,911,2,true
60,services,single,primary,false,313,true,false,unknown,15,may,920,2,true
29,management,married,tertiary,false,10576,false,false,unknown,15,may,1224,2,true
41,retired,divorced,primary,false,-233,true,false,unknown,15,may,1156,2,true
41,blue-collar,married,primary,false,2453,true,false,unknown,15,may,1052,1,true
42,technician,single,secondary,false,1364,true,false,unknown,15,may,1867,6,true
46,blue-collar,married,secondary,false,668,true,false,unknown,15,may,1263,2,true
32,services,single,secondary,false,772,true,false,unknown,15,may,697,3,true
36,services,single,unknown,false,281,true,false,unknown,16,may,515,1,true
39,technician,married,tertiary,false,94,true,true,unknown,16,may,813,1,true
33,management,married,tertiary,false,273,true,false,unknown,16,may,803,1,true
42,admin,divorced,secondary,false,153,true,false,unknown,16,may,844,1,true
31,self-employed,single,tertiary,false,144,true,false,unknown,16,may,676,1,true
40,services,married,secondary,false,446,true,false,unknown,16,may,1252,1,true
26,blue-collar,married,secondary,false,246,true,false,unknown,16,may,1143,3,true
45,blue-collar,married,primary,false,804,true,false,unknown,16,may,528,1,true
31,blue-collar,married,secondary,false,92,true,false,unknown,16,may,688,1,true
29,admin,single,secondary,false,163,true,true,unknown,16,may,803,1,true
27,technician,single,secondary,false,1742,true,false,unknown,16,may,787,1,true
37,services,divorced,secondary,false,49,true,false,unknown,16,may,619,2,true
40,blue-collar,married,primary,false,1758,true,false,unknown,16,may,1230,3,true
33,blue-collar,single,secondary,false,-416,true,false,unknown,16,may,767,2,true
24,technician,single,secondary,false,409,true,false,unknown,16,may,912,1,true
24,blue-collar,married,primary,false,656,true,false,unknown,16,may,894,1,true
50,admin,divorced,secondary,false,363,true,false,unknown,16,may,1340,1,true
27,technician,single,tertiary,false,3706,true,false,unknown,16,may,897,1,true
54,management,single,tertiary,false,4393,true,false,unknown,16,may,1297,3,true
30,technician,single,secondary,false,863,true,false,unknown,16,may,1193,5,true
34,blue-collar,married,primary,false,695,true,true,unknown,16,may,1064,4,true
37,management,single,secondary,false,792,true,false,unknown,16,may,1187,4,true
41,admin,single,secondary,false,1020,true,false,unknown,19,may,882,1,true
47,blue-collar,married,secondary,false,863,true,false,unknown,19,may,943,2,true
31,admin,married,secondary,false,97,true,false,unknown,19,may,607,1,true
31,blue-collar,married,secondary,false,754,true,false,unknown,19,may,1022,4,true
43,services,divorced,secondary,false,1040,true,false,unknown,19,may,552,3,true
37,management,divorced,tertiary,false,122,true,false,unknown,19,may,1622,2,true
30,technician,single,tertiary,false,880,true,true,unknown,19,may,967,6,true
41,technician,married,secondary,false,501,true,false,unknown,19,may,579,5,true
30,technician,single,tertiary,false,3291,true,false,unknown,19,may,1218,3,true
36,blue-collar,married,secondary,false,4438,true,false,unknown,20,may,446,1,true
35,blue-collar,divorced,secondary,false,0,true,false,unknown,20,may,1205,1,true
29,services,single,secondary,false,271,true,false,unknown,20,may,1882,2,true
35,blue-collar,married,primary,false,102,true,false,unknown,20,may,1334,1,true
31,blue-collar,married,secondary,false,2,true,false,unknown,20,may,182,2,true
35,services,married,secondary,false,4170,true,false,unknown,20,may,1777,1,true
34,technician,single,secondary,false,85,true,false,unknown,20,may,1182,4,true
31,admin,single,secondary,false,431,true,true,unknown,20,may,1045,1,true
44,technician,divorced,secondary,false,982,true,false,unknown,20,may,650,3,true
36,blue-collar,married,primary,false,408,true,true,unknown,20,may,1063,2,true
39,technician,single,secondary,false,1022,true,false,unknown,20,may,1410,2,true
35,blue-collar,married,unknown,false,4822,true,false,unknown,20,may,843,2,true
41,blue-collar,married,primary,false,1250,true,false,unknown,20,may,1392,2,true
31,blue-collar,married,secondary,false,3311,true,false,unknown,20,may,719,1,true
31,blue-collar,single,primary,false,216,true,false,unknown,21,may,565,1,true
34,blue-collar,married,secondary,false,1207,true,false,unknown,21,may,905,1,true
32,technician,married,secondary,false,791,true,false,unknown,21,may,783,2,true
36,management,married,tertiary,false,849,true,true,unknown,21,may,958,2,true
30,blue-collar,single,secondary,true,239,true,false,unknown,21,may,412,1,true
37,technician,single,secondary,false,1211,true,false,unknown,21,may,795,1,true
54,management,divorced,tertiary,false,487,true,false,unknown,21,may,828,4,true
36,blue-collar,married,primary,false,599,true,false,unknown,21,may,649,2,true
31,management,single,tertiary,false,825,true,false,unknown,21,may,506,2,true
27,technician,married,secondary,false,2183,true,true,unknown,21,may,857,1,true
34,retired,married,primary,false,4499,false,false,unknown,21,may,1681,1,true
32,services,single,secondary,false,-198,true,false,unknown,21,may,681,3,true
30,technician,single,tertiary,false,1289,true,false,unknown,21,may,1697,2,true
32,technician,single,tertiary,false,4665,true,false,unknown,21,may,860,2,true
37,technician,single,secondary,false,3326,true,false,unknown,21,may,799,1,true
38,blue-collar,married,secondary,false,622,true,false,unknown,21,may,611,2,true
32,blue-collar,married,secondary,false,783,true,false,unknown,21,may,923,3,true
33,blue-collar,married,secondary,false,0,true,false,unknown,21,may,521,3,true
35,blue-collar,married,primary,false,994,true,false,unknown,23,may,1349,8,true
35,self-employed,divorced,tertiary,false,1354,true,false,unknown,23,may,736,2,true
30,blue-collar,single,secondary,false,239,true,false,unknown,23,may,785,1,true
30,blue-collar,married,secondary,false,278,true,true,unknown,23,may,1073,1,true
34,blue-collar,married,secondary,false,2495,true,false,unknown,23,may,924,1,true
45,blue-collar,divorced,primary,false,-311,true,false,unknown,23,may,1030,1,true
45,admin,married,secondary,false,149,true,false,unknown,23,may,893,3,true
33,blue-collar,married,secondary,false,1464,true,false,unknown,23,may,588,3,true
33,blue-collar,divorced,secondary,false,3546,true,false,unknown,23,may,777,2,true
44,management,divorced,tertiary,false,5773,false,false,unknown,23,may,597,6,true
40,blue-collar,married,primary,false,278,true,false,unknown,23,may,1015,3,true
31,blue-collar,married,secondary,false,2910,true,false,unknown,23,may,1392,2,true
30,technician,married,tertiary,false,541,true,false,unknown,26,may,414,2,true
44,technician,divorced,secondary,false,1262,true,false,unknown,26,may,788,11,true
34,services,married,secondary,false,-538,true,false,unknown,26,may,682,1,true
31,admin,single,secondary,false,747,true,false,unknown,26,may,543,2,true
45,blue-collar,married,secondary,false,61,true,false,unknown,26,may,745,4,true
37,blue-collar,married,secondary,false,125,false,false,unknown,26,may,679,2,true
28,self-employed,single,tertiary,false,0,true,false,unknown,26,may,1560,2,true
32,admin,single,secondary,false,620,true,false,unknown,26,may,1234,3,true
37,blue-collar,divorced,secondary,false,316,true,false,unknown,26,may,642,2,true
34,management,married,tertiary,false,2287,true,false,unknown,26,may,895,4,true
38,admin,divorced,secondary,false,198,true,false,unknown,26,may,431,2,true
28,admin,single,secondary,false,460,true,false,unknown,26,may,741,6,true
31,management,divorced,tertiary,false,1145,true,false,unknown,26,may,1272,4,true
30,services,married,secondary,false,129,true,false,unknown,26,may,1446,7,true
30,admin,married,secondary,false,1265,true,true,unknown,26,may,414,2,true
59,services,married,secondary,false,-22,true,false,unknown,26,may,748,3,true
24,blue-collar,married,secondary,false,685,true,false,unknown,26,may,896,3,true
26,services,single,secondary,false,901,true,false,unknown,26,may,764,2,true
59,retired,single,secondary,false,351,true,false,unknown,27,may,1063,5,true
53,technician,married,secondary,false,-725,true,false,unknown,27,may,1205,1,true
30,entrepreneur,single,primary,false,0,true,true,unknown,27,may,1051,1,true
28,management,single,tertiary,false,939,true,false,unknown,27,may,740,1,true
37,admin,married,secondary,false,274,true,false,unknown,27,may,731,3,true
24,self-employed,single,tertiary,false,2984,true,false,unknown,27,may,935,1,true
30,admin,single,secondary,false,-213,true,true,unknown,27,may,751,1,true
25,blue-collar,married,secondary,false,97,true,false,unknown,27,may,709,1,true
44,services,divorced,secondary,false,51,true,true,unknown,27,may,3094,2,true
29,management,married,tertiary,false,314,false,false,unknown,28,may,938,2,true
26,management,single,tertiary,false,6840,true,false,unknown,28,may,1560,2,true
26,technician,single,secondary,false,668,true,false,unknown,28,may,576,3,true
27,services,single,secondary,false,54,true,false,unknown,28,may,543,2,true
25,self-employed,single,secondary,false,1242,true,false,unknown,28,may,615,2,true
28,management,married,secondary,false,292,true,false,unknown,28,may,507,1,true
23,services,single,secondary,false,665,true,false,unknown,28,may,1183,1,true
27,blue-collar,single,secondary,false,294,true,true,unknown,28,may,694,2,true
23,technician,single,tertiary,false,1129,true,false,unknown,28,may,806,1,true
46,technician,married,secondary,false,57,false,false,unknown,28,may,796,1,true
23,student,single,unknown,false,854,true,false,unknown,28,may,664,2,true
57,retired,married,tertiary,false,0,true,true,unknown,28,may,648,1,true
34,management,single,tertiary,false,1058,true,false,unknown,28,may,864,2,true
28,student,single,secondary,false,949,true,false,unknown,28,may,1730,1,true
51,entrepreneur,married,unknown,false,606,true,false,unknown,28,may,560,9,true
35,blue-collar,married,secondary,false,0,true,true,unknown,29,may,543,1,true
35,admin,married,secondary,false,404,true,false,unknown,29,may,539,1,true
27,blue-collar,single,secondary,false,2486,true,false,unknown,29,may,733,1,true
56,blue-collar,married,secondary,false,249,true,false,unknown,29,may,791,2,true
45,unemployed,divorced,secondary,false,3354,true,false,unknown,29,may,746,1,true
60,blue-collar,divorced,secondary,false,0,true,false,unknown,29,may,1207,1,true
56,technician,married,secondary,false,589,true,false,unknown,29,may,535,2,true
33,blue-collar,single,primary,false,127,true,false,unknown,29,may,1059,2,true
27,management,single,tertiary,false,12956,true,false,unknown,29,may,789,3,true
30,admin,married,secondary,false,873,true,false,unknown,29,may,792,3,true
45,blue-collar,divorced,primary,false,594,true,false,unknown,29,may,833,2,true
29,blue-collar,single,secondary,false,-20,true,false,unknown,29,may,814,2,true
38,management,divorced,tertiary,false,4692,true,false,unknown,29,may,1363,2,true
34,blue-collar,married,primary,false,1031,true,false,unknown,29,may,751,3,true
30,blue-collar,married,secondary,false,486,true,false,unknown,29,may,1109,3,true
44,blue-collar,single,primary,false,1593,true,false,unknown,29,may,828,3,true
36,management,single,tertiary,false,7606,true,false,unknown,30,may,917,1,true
40,technician,single,secondary,false,5637,true,false,unknown,30,may,553,3,true
38,technician,married,secondary,false,226,true,false,unknown,30,may,762,3,true
36,blue-collar,single,secondary,false,366,true,true,unknown,30,may,1133,2,true
37,management,divorced,secondary,false,16,true,false,unknown,30,may,638,1,true
35,management,single,tertiary,false,565,true,false,unknown,30,may,763,1,true
48,technician,married,secondary,true,0,false,false,unknown,30,may,682,1,true
38,admin,divorced,secondary,false,19,true,false,unknown,30,may,604,2,true
40,services,married,primary,false,1082,true,false,unknown,30,may,854,2,true
42,unemployed,divorced,secondary,false,1713,true,false,unknown,30,may,855,2,true
46,management,divorced,tertiary,false,14481,true,false,unknown,30,may,1269,1,true
35,technician,divorced,secondary,false,5724,true,false,unknown,30,may,691,10,true
34,technician,divorced,secondary,false,1451,true,false,unknown,30,may,1097,15,true
29,self-employed,single,tertiary,false,121,true,false,unknown,30,may,1500,2,true
32,services,married,secondary,false,-34,true,false,unknown,30,may,1236,2,true
50,unemployed,married,secondary,false,3674,true,false,unknown,30,may,886,3,true
35,blue-collar,married,secondary,false,698,true,true,unknown,30,may,1343,3,true
36,technician,single,secondary,false,4136,true,false,unknown,30,may,812,3,true
53,blue-collar,divorced,primary,false,2656,true,false,unknown,30,may,1980,2,true
32,technician,single,secondary,false,562,true,false,unknown,30,may,722,3,true
46,management,single,tertiary,false,2904,true,false,unknown,30,may,984,2,true
26,management,single,tertiary,false,1004,true,false,unknown,30,may,228,2,true
45,technician,single,secondary,false,410,true,false,unknown,30,may,891,4,true
31,unemployed,divorced,primary,false,0,true,false,unknown,30,may,745,12,true
29,management,single,tertiary,false,0,true,false,unknown,30,may,539,12,true
53,entrepreneur,single,secondary,false,62,true,false,unknown,30,may,1044,5,true
27,blue-collar,married,primary,false,416,true,false,unknown,30,may,1193,2,true
39,management,married,tertiary,false,2763,true,false,unknown,2,jun,526,2,true
36,services,married,secondary,false,2984,true,false,unknown,2,jun,394,1,true
41,blue-collar,married,primary,false,143,true,true,unknown,2,jun,659,2,true
36,services,married,primary,false,0,true,false,unknown,2,jun,1036,1,true
32,technician,married,secondary,false,696,true,false,unknown,2,jun,815,1,true
35,services,married,secondary,false,152,true,false,unknown,2,jun,563,1,true
36,management,single,tertiary,false,-78,true,false,unknown,2,jun,1068,1,true
35,management,married,tertiary,false,867,true,false,unknown,2,jun,230,3,true
30,blue-collar,single,secondary,false,953,true,false,unknown,2,jun,747,2,true
42,blue-collar,married,secondary,false,443,true,false,unknown,2,jun,671,5,true
42,technician,single,secondary,true,-1129,true,false,unknown,2,jun,555,5,true
32,blue-collar,married,primary,false,415,true,false,unknown,2,jun,777,4,true
40,unemployed,married,secondary,false,1960,true,false,unknown,2,jun,605,6,true
29,blue-collar,single,secondary,false,260,true,false,unknown,2,jun,707,14,true
44,management,divorced,tertiary,true,-411,true,false,unknown,2,jun,432,4,true
32,technician,single,secondary,false,1279,true,false,unknown,3,jun,1173,3,true
31,unemployed,married,secondary,false,86,true,true,unknown,3,jun,963,2,true
40,self-employed,married,secondary,true,-754,true,true,unknown,3,jun,941,3,true
43,entrepreneur,married,secondary,false,0,false,false,unknown,3,jun,1025,7,true
27,management,single,secondary,false,178,true,false,unknown,3,jun,732,2,true
37,services,single,secondary,false,278,true,false,unknown,3,jun,1045,3,true
23,services,single,secondary,false,425,true,false,unknown,3,jun,768,1,true
25,management,married,primary,false,168,true,false,unknown,3,jun,801,1,true
26,blue-collar,single,secondary,true,-36,true,false,unknown,3,jun,482,2,true
47,blue-collar,divorced,primary,false,126,true,false,unknown,3,jun,2456,2,true
45,services,single,primary,false,1893,true,false,unknown,3,jun,1259,6,true
35,admin,married,secondary,false,-87,true,false,unknown,3,jun,1363,7,true
32,technician,single,tertiary,false,6281,true,false,unknown,3,jun,1336,4,true
45,management,divorced,secondary,false,644,true,false,unknown,4,jun,633,1,true
24,blue-collar,married,secondary,false,-389,true,true,unknown,4,jun,1242,1,true
30,admin,divorced,secondary,false,377,true,false,unknown,4,jun,524,15,true
33,blue-collar,single,secondary,false,76,true,false,unknown,4,jun,1141,4,true
29,services,single,secondary,false,-271,true,false,unknown,4,jun,578,1,true
38,blue-collar,married,primary,false,5839,true,false,unknown,4,jun,984,2,true
23,blue-collar,single,secondary,false,492,true,false,unknown,4,jun,638,1,true
27,management,single,tertiary,false,99,true,false,unknown,4,jun,767,2,true
27,management,single,tertiary,true,-713,true,false,unknown,4,jun,525,2,true
29,services,single,secondary,false,32,true,false,unknown,4,jun,563,1,true
30,self-employed,married,tertiary,false,543,true,true,unknown,4,jun,1449,6,true
36,blue-collar,married,primary,false,403,true,false,unknown,4,jun,920,1,true
27,blue-collar,married,secondary,false,419,true,false,unknown,4,jun,1181,2,true
35,admin,divorced,secondary,false,437,true,false,unknown,4,jun,908,1,true
50,unemployed,married,primary,false,705,false,false,unknown,5,jun,504,1,true
36,blue-collar,married,secondary,false,1772,false,false,unknown,5,jun,208,1,true
59,retired,married,secondary,false,0,false,false,unknown,5,jun,812,1,true
59,retired,divorced,primary,false,-88,true,false,unknown,5,jun,910,2,true
47,entrepreneur,married,secondary,false,0,false,false,unknown,5,jun,1446,1,true
58,entrepreneur,married,tertiary,false,853,false,false,unknown,5,jun,1149,2,true
37,management,single,tertiary,false,240,false,false,unknown,5,jun,1123,1,true
46,admin,single,secondary,false,849,true,false,unknown,5,jun,508,2,true
43,blue-collar,single,secondary,false,318,true,false,unknown,5,jun,736,2,true
27,management,single,tertiary,false,703,true,false,unknown,5,jun,590,3,true
38,services,divorced,secondary,false,61,false,false,unknown,5,jun,636,1,true
53,housemaid,married,primary,false,104,false,true,unknown,5,jun,701,1,true
47,blue-collar,married,secondary,false,1996,false,false,unknown,5,jun,761,2,true
56,housemaid,divorced,primary,true,1238,false,false,unknown,5,jun,1558,1,true
41,housemaid,married,secondary,false,879,false,false,unknown,5,jun,1053,2,true
29,self-employed,married,secondary,false,425,true,false,unknown,5,jun,562,15,true
35,self-employed,married,secondary,false,188,true,true,unknown,5,jun,1865,2,true
38,admin,single,secondary,false,3239,false,false,unknown,5,jun,817,2,true
50,technician,married,secondary,false,416,true,false,unknown,5,jun,494,5,true
45,blue-collar,divorced,primary,false,844,false,false,unknown,5,jun,1018,3,true
35,blue-collar,married,secondary,false,860,true,false,unknown,5,jun,884,4,true
35,housemaid,single,secondary,false,1015,true,false,unknown,5,jun,406,2,true
39,self-employed,married,tertiary,false,1047,false,false,unknown,6,jun,554,1,true
26,technician,single,secondary,false,639,true,false,unknown,6,jun,709,5,true
26,admin,married,secondary,false,710,true,true,unknown,6,jun,1276,2,true
37,blue-collar,married,unknown,false,1508,false,true,unknown,6,jun,381,2,true
30,admin,single,secondary,false,223,true,false,unknown,6,jun,862,11,true
38,management,single,tertiary,false,619,true,false,unknown,6,jun,460,4,true
28,technician,single,secondary,true,-1042,true,false,unknown,6,jun,712,2,true
54,self-employed,divorced,primary,false,351,true,false,unknown,6,jun,642,2,true
41,blue-collar,married,primary,false,1461,true,false,unknown,6,jun,554,2,true
37,services,divorced,secondary,false,319,true,false,unknown,6,jun,467,3,true
53,technician,married,secondary,false,480,false,false,unknown,6,jun,648,2,true
29,blue-collar,single,primary,false,213,true,false,unknown,6,jun,2653,3,true
35,management,single,tertiary,false,68,false,false,unknown,6,jun,1085,1,true
47,admin,divorced,secondary,false,295,true,false,unknown,6,jun,94,2,true
28,blue-collar,married,secondary,false,2788,true,false,unknown,6,jun,369,2,true
36,self-employed,married,secondary,false,1245,true,false,unknown,6,jun,1469,9,true
55,blue-collar,married,unknown,false,7561,false,false,unknown,6,jun,685,3,true
49,management,divorced,secondary,false,-46,true,false,unknown,9,jun,1055,10,true
50,services,married,secondary,false,1595,false,false,unknown,9,jun,882,1,true
43,management,single,tertiary,false,1046,false,false,unknown,9,jun,901,1,true
58,self-employed,divorced,tertiary,false,1382,false,false,unknown,9,jun,700,1,true
38,technician,married,primary,false,217,true,false,unknown,9,jun,491,6,true
48,blue-collar,divorced,primary,false,183,false,false,unknown,9,jun,940,1,true
59,management,married,secondary,false,1321,false,false,unknown,9,jun,3881,3,true
38,technician,divorced,tertiary,false,1805,false,false,unknown,9,jun,952,2,true
58,blue-collar,married,secondary,false,25,false,false,unknown,9,jun,486,3,true
52,blue-collar,married,secondary,false,-519,true,false,unknown,9,jun,442,8,true
36,self-employed,single,tertiary,false,4844,false,false,unknown,9,jun,1137,3,true
42,entrepreneur,married,tertiary,false,5345,false,false,unknown,11,jun,878,3,true
41,admin,single,secondary,false,812,false,true,unknown,11,jun,583,4,true
42,admin,married,secondary,false,105,false,false,unknown,11,jun,1159,4,true
39,management,married,tertiary,false,-190,false,true,unknown,11,jun,893,8,true
57,housemaid,married,primary,false,625,false,true,unknown,11,jun,867,1,true
51,retired,married,secondary,false,1435,false,false,unknown,11,jun,587,1,true
52,retired,married,unknown,false,293,false,false,unknown,11,jun,706,1,true
59,retired,married,unknown,false,1033,false,false,unknown,11,jun,1199,1,true
56,blue-collar,married,secondary,false,1210,false,false,unknown,11,jun,935,1,true
49,management,married,tertiary,false,64,false,false,unknown,11,jun,586,1,true
35,blue-collar,divorced,unknown,false,164,false,false,unknown,11,jun,967,2,true
36,unemployed,married,secondary,false,1766,false,false,unknown,11,jun,595,2,true
40,admin,single,tertiary,false,1248,false,false,unknown,11,jun,1290,2,true
37,management,single,tertiary,false,8828,false,false,unknown,12,jun,1010,3,true
55,blue-collar,married,secondary,false,0,false,false,unknown,12,jun,614,2,true
58,admin,married,secondary,false,826,false,false,unknown,12,jun,885,1,true
39,self-employed,married,tertiary,false,2630,false,false,unknown,12,jun,651,5,true
47,housemaid,single,tertiary,false,3727,false,false,unknown,12,jun,993,6,true
40,management,married,secondary,false,406,true,false,unknown,12,jun,577,2,true
35,blue-collar,married,tertiary,false,2999,false,false,unknown,12,jun,1141,6,true
48,blue-collar,married,secondary,false,1000,true,false,unknown,12,jun,1268,2,true
27,admin,single,secondary,false,18188,true,false,unknown,12,jun,541,17,true
48,management,divorced,tertiary,false,503,false,true,unknown,12,jun,1243,7,true
24,blue-collar,single,secondary,true,-203,true,false,unknown,12,jun,465,3,true
49,blue-collar,married,primary,false,361,true,false,unknown,16,jun,513,2,true
36,blue-collar,married,secondary,false,274,true,false,unknown,16,jun,686,11,true
52,retired,divorced,tertiary,false,3687,true,true,unknown,16,jun,741,4,true
38,blue-collar,married,secondary,false,1627,false,false,unknown,16,jun,1323,9,true
42,entrepreneur,single,unknown,false,323,false,false,unknown,16,jun,617,1,true
36,services,married,secondary,false,981,false,false,unknown,16,jun,1093,1,true
36,blue-collar,divorced,secondary,false,638,true,false,unknown,16,jun,1395,2,true
48,unemployed,single,tertiary,false,3229,false,false,unknown,16,jun,1089,1,true
51,management,single,secondary,false,1610,true,false,unknown,16,jun,1248,3,true
51,blue-collar,married,secondary,false,33,false,true,unknown,16,jun,721,3,true
46,technician,married,secondary,false,536,true,false,unknown,16,jun,750,2,true
37,management,married,tertiary,false,0,false,false,unknown,16,jun,637,6,true
36,entrepreneur,married,tertiary,false,3057,false,false,unknown,16,jun,2769,4,true
47,management,married,secondary,false,2892,false,false,unknown,17,jun,556,1,true
40,technician,divorced,tertiary,false,0,false,false,unknown,17,jun,522,1,true
56,management,divorced,tertiary,false,4266,true,false,unknown,17,jun,490,4,true
38,technician,single,tertiary,false,110,false,false,unknown,17,jun,1051,3,true
38,student,single,tertiary,false,3316,false,false,unknown,17,jun,1345,3,true
